gender,birthyear,occupation,ordered_item
1,1999,CEO,Salmon.Goreng
1,1999,CEO,Udang.Goreng
1,1989,Student,Nasi.Goreng
1,1989,Student,Sate
0,1993,CEO,Nasi.Goreng
0,1993,CEO,Sate
0,1993,CEO,Ayam.Goreng
1,1990,Student,Ayam.Goreng
1,1990,Student,Kentang.Goreng
1,1988,Businessperson,Nasi.Goreng
1,1988,Businessperson,Salmon.Goreng
1,1988,Businessperson,Sate
1,1988,Student,Nasi.Goreng
1,1988,Student,Kentang.Goreng
1,1989,Businessperson,Nasi.Goreng
1,1989,Businessperson,Salmon.Goreng
1,1985,Developer,Nasi.Goreng
1,1985,Developer,Salmon.Goreng
0,1990,Businessperson,Ayam.Goreng
0,1990,Businessperson,Pizza
0,1990,Businessperson,Nasi.Goreng
0,1990,Businessperson,Sate
0,1990,Businessperson,Kentang.Goreng
0,1987,Student,Nasi.Goreng
0,1987,Student,Kentang.Goreng
0,1987,Student,Salmon.Goreng
0,1987,Student,Sate
0,1990,Businessperson,Nasi.Goreng
0,1990,Businessperson,Udang.Goreng
0,1990,Businessperson,Ayam.Goreng
0,1990,Businessperson,Ayam.Goreng
0,1990,Businessperson,Salmon.Goreng
0,1990,Businessperson,Pisang.Goreng
1,1988,Businessperson,Nasi.Goreng
1,1988,Businessperson,Pisang.Goreng
1,1988,Businessperson,Salmon.Goreng
1,1999,CEO,Ayam.Goreng
1,1999,CEO,Udang.Goreng
1,1999,CEO,Pisang.Goreng
1,1989,Businessperson,Nasi.Goreng
1,1989,Businessperson,Salmon.Goreng
